Authors;Article Title;DOI
"Henninger, CE; Burklin, N; Niinimaki, K";The clothes swapping phenomenon - when consumers become suppliers;10.1108/JFMM-04-2018-0057
"Tebaldi, L; Brun, A; Bottani, E";Evidences on sustainability issues in the Fashion Supply Chain: An empirical study in Italy;10.1016/j.spc.2022.07.032
"Fu, XY; Chen, TG";Supply Chain Network Optimization Based on Fuzzy Multiobjective Centralized Decision-Making Model;10.1155/2017/5825912
"Siddiqui, J; McPhail, K; Rahman, SS";Private governance responsibilisation in global supply chains: the case of Rana Plaza;10.1108/AAAJ-05-2019-3993
"Weziak-Bialowolska, D; Bialowolski, P; McNeely, E";The impact of workplace harassment and domestic violence on work outcomes in the developing world;10.1016/j.worlddev.2019.104732
"George, HA; Stenton, M; Kapsali, V; Blackburn, RS; Houghton, JA";Referencing Historical Practices and Emergent Technologies in the Future Development of Sustainable Textiles: A Case Study Exploring Ardil, a UK-Based Regenerated Protein Fibre;10.3390/su14148414
"Schenten, J; Fuhr, M; Kleihauer, S; Schonborn, J";Traceability as driver for more sustainable chemistry in the global textile supply chains;10.1016/j.cogsc.2019.08.003
"Laitala, K; Klepp, IG";What Affects Garment Lifespans? International Clothing Practices Based on a Wardrobe Survey in China, Germany, Japan, the UK, and the USA;10.3390/su12219151
"Benstead, AV; Hendry, LC; Stevenson, M";Horizontal collaboration in response to modern slavery legislation: An action research project;10.1108/IJOPM-10-2017-0611
"Ahmed, A; Bain, S; Prottoy, ZH; Morsada, Z; Islam, MT; Hossain, MM; Shkir, M";Silk-Templated Nanomaterial Interfaces for Wearables and Bioelectronics: Advances and Prospects;10.1021/acsmaterialslett.1c00618
"Lewis, TL; Zeng, X; Sanchez, V; Fan, JT";Environmental Evaluation of Fabric Dyeing and Water Use for a Global Apparel Manufacturer;10.14504/ajr.4.1.1
"Hu, RJ; Wang, N; Hou, LL; Liu, JC; Cui, ZM; Zhang, CH; Zhao, Y";Bilayer Nanoporous Polyethylene Membrane with Anisotropic Wettability for Rapid Water Transportation/Evaporation and Radiative Cooling;10.1021/acsami.1c22974
"Ramirez, J; McCabe, B; Jensen, PD; Speight, R; Harrison, M; van den Berg, L; O'Hara, I";Wastes to profit: a circular economy approach to value-addition in livestock industries;10.1071/AN20400
"Zheng, J; Li, L; Gu, W; Liu, GX";Sustainable Apparel Product Design Methods: a Fashion Brand Company Case Study;10.5604/01.3001.0014.0930
"Tseng, ML; Lim, MK; Wu, KJ; Peng, WW";Improving sustainable supply chain capabilities using social media in a decision-making model;10.1016/j.jclepro.2019.04.202
"Sesini, G; Castiglioni, C; Lozza, E";New Trends and Patterns in Sustainable Consumption: A Systematic Review and Research Agenda;10.3390/su12155935
"Khan, SAR; Piprani, AZ; Yu, Z";Supply chain analytics and post-pandemic performance: mediating role of triple-A supply chain strategies;10.1108/IJOEM-11-2021-1744
"Lis, A; Sudolska, A; Tomanek, M";Mapping Research on Sustainable Supply-Chain Management;10.3390/su12103987
"Slahor, L; Bartekova, MK; Gasperova, J; Palatova, D";Long-Term Social Care - The Problem of Sustainable Financing in Slovakia;
"Null, DC; Asirvatham, J";College students are pro-environment but lack sustainability knowledge: a study at a mid-size Midwestern US university;10.1108/IJSHE-02-2022-0046
"Schuessler, E; Frenkel, SJ; Wright, CF";Governance of Labor Standards in Australian and German Garment Supply Chains: The Impact of Rana Plaza;10.1177/0019793918771360
"Machado, SM; Paiva, EL; da Silva, EM";Counterfeiting: addressing mitigation and resilience in supply chains;10.1108/IJPDLM-01-2017-0004
Bhattacharjee, SS;Migrant Labor Supply Chains: Architectures of Mobile Assemblages;10.1177/09646639221080519
Ban, Z;Open for change but closed for transformation: A communicative analysis of managerial corporate social responsibility discourse on the issue of labor;10.1177/1350508419867209
"Ali, Z; Gongbing, B; Mehreen, A";Do vulnerability mitigation strategies influence firm performance: the mediating role of supply chain risk;10.1108/IJOEM-04-2020-0397
"Al-Musaibeli, H; Ahmad, R";A path planning method for surface damage repair using a robot-assisted laser cladding process;10.1007/s00170-022-09933-3
"Irfan, I; Sumbal, MSUK; Khurshid, F; Chan, FTS";Toward a resilient supply chain model: critical role of knowledge management and dynamic capabilities;10.1108/IMDS-06-2021-0356
"Borglin, L; Pekarski, S; Saget, S; Duane, B";The life cycle analysis of a dental examination: Quantifying the environmental burden of an examination in a hypothetical dental practice;10.1111/cdoe.12630
"Rosen, T; Hsiao, BS; Soderberg, LD";Elucidating the Opportunities and Challenges for Nanocellulose Spinning;10.1002/adma.202001238
"Jimenez-Espada, M; Cuartero, A; Le Breton, M";Sustainability Assessment through Urban Accessibility Indicators and GIS in a Middle-Sized World Heritage City: The Case of Caceres, Spain;10.3390/buildings12060813
"Safra, I; Jebali, A; Jemai, Z; Bouchriha, H; Ghaffari, A";Capacity planning in textile and apparel supply chains;10.1093/imaman/dpy006
"Ha-Brookshire, J; McAndrews, L; Kim, J; Freeman, C; Jin, B; Norum, P; Lehew, MLA; Karpova, E; Hassall, L; Marcketti, S";Moral Education for Sustainable Development: Exploring Morally Challenging Business Situations within the Global Supply Chain Context;10.3390/su9091641
"Onel, N; Mukherjee, A; Kreidler, NB; Diaz, EM; Furchheim, P; Gupta, S; Keech, J; Murdock, MR; Wang, Q";Tell me your story and I will tell you who you are: Persona perspective in sustainable consumption;10.1002/mar.21132
"Jones, C; Wortmann, FJ; Gleeson, HF; Yeates, SG";Textile materials inspired by structural colour in nature;10.1039/d0ra01326a
"Diddi, S; Yan, RN";Consumer Perceptions Related to Clothing Repair and Community Mending Events: A Circular Economy Perspective;10.3390/su11195306
"Yan, Y; Gupta, S; Licsandru, TC; Schoefer, K";Integrating machine learning, modularity and supply chain integration for Branding 4.0;10.1016/j.indmarman.2022.04.013
"Escrig-Olmedo, E; Rivera-Lirio, JM; Munoz-Torres, MJ; Fernandez-Izquierdo, MA";Integrating multiple ESG investors' preferences into sustainable investment: A fuzzy multicriteria methodological approach;10.1016/j.jclepro.2017.06.143
"Islam, MS; Hasan, SMM; Salzer, JS; Kadzik, M; Haque, F; Haider, N; Hossain, MB; Islam, MA; Rahman, M; Kennedy, E; Gurley, ES";Human exposures to by-products from animals suspected to have died of anthrax in Bangladesh: An exploratory study;10.1111/tbed.13921
Robbins, A;OUTSOURCING BENEFICIARIES: CONTRACT AND TORT STRATEGIES FOR IMPROVING CONDITIONS IN THE GLOBAL GARMENT INDUSTRY;10.5195/lawreview.2018.605
"Sarkar, S; Tiwari, N; Behera, M; Chakrabortty, S; Jhingran, K; Sanjay, K; Banerjee, S; Tripathy, SK";Facile synthesis, characterization and application of magnetic Fe3O4-coir pith composites for the removal of methyl violet from aqueous solution: Kinetics, isotherm, thermodynamics and parametric optimization;10.1016/j.jics.2022.100447
"Gunduz, C; Gunduz, GS";Supplier Selection Under Fuzzy Environment;10.32710/tekstilvekonfeksiyon.551911
"Ali, Z; Bi, GB; Mehreen, A; Ghani, U";Predicting firm performance through supply chain finance: a moderated and mediated model link;10.1080/13675567.2019.1638894
"Figueiredo, SDM; Pinto, LA; Oliveira, LS; Menezes, JMC; de Paula, FJ";Overview of galvanic industries in Juazeiro do Norte, Brazil: emphasis on trace metal content in effluents and solid waste;10.1590/S1413-415220190063
"Hou, B; Mutuc, E; Wu, LH; Lee, HY; Lu, KH";Sustainable rice farming systems: farmer attribute and land ecosystem perspectives;10.22434/IFAMR2018.0220
Doller, R;The Bangladesh garment industry and the global supply chain. Choices and constraints of management;10.1111/bjir.12651
"Scott, NA; Vim, T; Kaiser, JL; Ngoma, T; Mataka, K; Henry, EG; Biemba, G; Nambao, M; Hamer, DH";Listening to the community: Using formative research to strengthen maternity waiting homes in Zambia;10.1371/journal.pone.0194535
"Ozbek, A; Yildiz, A";Digital Supplier Selection for a Garment Business Using Interval Type-2 Fuzzy TOPSIS;10.32710/tekstilvekonfeksiyon.569884
"Nielsen, KS; Hofmann, W";Motivating sustainability through morality: A daily diary study on the link between moral self-control and clothing consumption;10.1016/j.jenvp.2021.101551
"Kayikci, Y; Kazancoglu, Y; Gozacan-Chase, N; Lafci, C; Batista, L";Assessing smart circular supply chain readiness and maturity level of small and medium-sized enterprises;10.1016/j.jbusres.2022.05.042
"Felfel, H; Ayadi, O; Masmoudi, F";Multi-objective stochastic multi-site supply chain planning under demand uncertainty considering downside risk;10.1016/j.cie.2016.10.025
"Lim, MK; Tseng, ML; Tan, KH; Bui, TD";Knowledge management in sustainable supply chain management: Improving performance through an interpretive structural modelling approach;10.1016/j.jclepro.2017.06.056
"Agyabeng-Mensah, Y; Ahenkorah, E; Afum, E; Agyemang, AN; Agnikpe, C; Rogers, F";Examining the influence of internal green supply chain practices, green human resource management and supply chain environmental cooperation on firm performance;10.1108/SCM-11-2019-0405
"Huang, YF; Azevedo, SG; Lin, TJ; Cheng, CS; Lin, CT";Exploring the decisive barriers to achieve circular economy: Strategies for the textile innovation in Taiwan;10.1016/j.spc.2021.03.007
Trebilcock, A;The Rana Plaza disaster seven years on: Transnational experiments and perhaps a new treaty?;
"Valentine, L; Ballie, J; Bletcher, J; Robertson, S; Stevenson, F";Design Thinking for Textiles: let's make it meaningful;10.1080/14606925.2017.1353041
"Simoes, A; Almendra, R";Pilot study to convert an existing model into a zero waste pattern and cutting system;
Jafari, H;Investigating environmental and economic aspects of sustainability by recycling PET plastic bottles: A game-theoretic approach;10.1007/s10098-021-02216-7
"Baburaj, A; Das, S";Dye Fed Silkworms to Produce Naturally Coloured Silk Cocoons;10.1080/15440478.2021.1889430
"He, HL; Wang, YS; Yu, ZC; Liu, JR; Zhao, YH; Ke, YS";Ecofriendly flame-retardant composite aerogel derived from polysaccharide: Preparation, flammability, thermal kinetics, and mechanism;10.1016/j.carbpol.2021.118291
"Lee, YK; DeLong, M";American and Korean Youths' Attachment to Handcraft Apparel and Its Relation to Sustainability;10.1177/0887302X16679270
"Islam, MM; Perry, P; Gill, S";Mapping environmentally sustainable practices in textiles, apparel and fashion industries: a systematic literature review;10.1108/JFMM-07-2020-0130
Trebilcock, A;The Rana Plaza disaster seven years on: Transnational experiments and perhaps a new treaty?Keywords;10.1111/ilr.12183
"Zhu, CY; Zeng, J; Wang, WL";Twin-roll strip casting of advanced metallic materials;10.1007/s11431-020-1800-8
"Baxter, J; Gram-Hanssen, I; Askham, C; Hansen, IJB; Rubach, S";Exploring sustainability metrics for redesigned consumer products;10.1016/j.jclepro.2018.04.153
"Nuti, E; Fleischmann-Allen, S; Chambers, M";Design of a Replacement Fibre-reinforced Polymer Footbridge;10.1007/978-3-030-88166-5_56
"Johnstone, L; Lindh, C";Sustainably sustaining (online) fashion consumption: Using influencers to promote sustainable (un)planned behaviour in Europe's millennials;10.1016/j.jretconser.2021.102775
"Bruyninckx, K; Dusselier, M";Sustainable Chemistry Considerations for the Encapsulation of Volatile Compounds in Laundry-Type Applications;10.1021/acssuschemeng.9b00677
"Ali, Z; Bi, GB; Mehreen, A";Predicting supply chain effectiveness through supply chain finance: Evidence from small and medium enterprises;10.1108/IJLM-05-2018-0118
"Filip, R; Anchidin-Norocel, L; Gheorghita, R; Savage, WK; Dimian, M";Changes in Dietary Patterns and Clinical Health Outcomes in Different Countries during the SARS-CoV-2 Pandemic;10.3390/nu13103612
"Mizrachi, MP; Tal, A";Regulation for Promoting Sustainable, Fair and Circular Fashion;10.3390/su14010502
"Kaya, Y; Karakan, GG; Visileanu, E";The impact of foreign exchange movements on Turkish textile sector;10.35530/IT.070.03.1591
"Clarke-Sather, A; Cobb, K";Onshoring fashion: Worker sustainability impacts of global and local apparel production;10.1016/j.jclepro.2018.09.073
"Anand, K; Rajan, AJ; Bapu, BR";Development of a Method to Compute the Overall Key Performance Index for a Spinning Mill to Aid Supply Chain Management;10.5604/01.3001.0013.2363
"Ali, Z; Bi, GB; Mehreen, A";Does supply chain finance improve SMEs performance? The moderating role of trade digitization;10.1108/BPMJ-05-2018-0133
"Chong, JW; Kim, W; Hong, JS";Optimization of Apparel Supply Chain Using Deep Reinforcement Learning;10.1109/ACCESS.2022.3205720
"Degli Esposti, P; Mortara, A; Roberti, G";Sharing and Sustainable Consumption in the Era of COVID-19;10.3390/su13041903
"Ahad, T; Busch, P; Blount, Y; Vatanasakdakul, S";Mobile phone enabled SCM: The Bangladeshi RMG sector;
"Zhai, H; Liu, ZK; Xu, LL; Liu, T; Fan, YY; Jin, L; Dong, RH; Yi, YPQ; Li, Y";Waste Textile Reutilization Via a Scalable Dyeing Technology: A Strategy to Enhance Dyestuffs Degradation Efficiency;10.1007/s42765-022-00192-1
Daukantiene, V;Analysis of the sustainability aspects of fashion: a literature review;10.1177/00405175221124971
"Rakib, MA; Chang, HJ; Jones, RP";Effective Sustainability Messages Triggering Consumer Emotion and Action: An Application of the Social Cognitive Theory and the Dual-Process Model;10.3390/su14052505
"Thorisdottir, TS; Johannsdottir, L";Corporate Social Responsibility Influencing Sustainability within the Fashion Industry. A Systematic Review;10.3390/su12219167
Nimkar, U;Sustainable chemistry: A solution to the textile industry in a developing world;10.1016/j.cogsc.2017.11.002
"Cai, LL; Song, AY; Li, W; Hsu, PC; Lin, DC; Catrysse, PB; Liu, YY; Peng, YC; Chen, J; Wang, HX; Xu, JW; Yang, AK; Fan, SH; Cui, Y";Spectrally Selective Nanocomposite Textile for Outdoor Personal Cooling;10.1002/adma.201802152
"Kalchschmidt, M; Birolini, S; Cattaneo, M; Malighetti, P; Paleari, S";The geography of suppliers and retailers;10.1016/j.pursup.2020.100626
"Klint, E; Johansson, LO; Peters, G";No stain, no pain-A multidisciplinary review of factors underlying domestic laundering;10.1016/j.erss.2021.102442
"Ayadi, O; Felfel, H; Masmoudi, F";Analytic hierarchy process-based approach for selecting a Pareto-optimal solution of a multi-objective, multi-site supply-chain planning problem;10.1080/0305215X.2016.1242913
"Kumar, L; Kamil, I; Ahmad, M; Naqvi, SA; Deitch, MJ; Amjad, AQ; Kumar, A; Basheer, S; Arshad, M; Sassanelli, C";In-house resource efficiency improvements supplementing the end of pipe treatments in textile SMEs under a circular economy fashion;10.3389/fenvs.2022.1002319
"Pina, DS; Gabriel, J; Natal, R";Motion Capture and MultiBody Simulations to Determine Actuation Requirements for an Assistive Exoskeleton;10.5220/0007403601830191
"Fallahpour, A; Wong, KY; Olugu, EU; Musa, SN";A Predictive Integrated Genetic-Based Model for Supplier Evaluation and Selection;10.1007/s40815-017-0324-z
"Hofman, PS; Blome, C; Schleper, MC; Subramanian, N";Supply chain collaboration and eco-innovations: An institutional perspective from China;10.1002/bse.2532
"Ignjatovic, MG; Blagojevic, BD; Stojiljkovic, MM; Mitrovic, DM; Andjelkovic, AS; Ljubenovic, MB";SENSITIVITY ANALYSIS FOR DAILY BUILDING OPERATION FROM THE ENERGY AND THERMAL COMFORT STANDPOINT;10.2298/TSCI16S5485I
"Garrido-Hidalgo, C; Hortelano, D; Roda-Sanchez, L; Olivares, T; Ruiz, MC; Lopez, V";IoT Heterogeneous Mesh Network Deployment for Human-in-the-Loop Challenges Towards a Social and Sustainable Industry 4.0;10.1109/ACCESS.2018.2836677
"Vieira, SFA; Lima, MYD; Gehlen, KRH";Sustainable Trend: A Study about Innovations in the Productive Chain of the Textile Sector;
"Tseng, ML; Lim, MK; Wu, KJ";Improving the benefits and costs on sustainable supply chain finance under uncertainty;10.1016/j.ijpe.2019.06.017
"Sannegadu, R; Henrico, A; van Staden, L";Factors influencing the internationalization of small-sized textile firms in a Small Island Developing State: A Mauritian study;10.24043/isj.154
"Sener, T; Biskin, F; Kilinc, N";Sustainable dressing: Consumers' value perceptions towards slow fashion;10.1002/bse.2330
"Caristi, G; Boffardi, R; Ciliberto, C; Arbolino, R; Ioppolo, G";Multicriteria Approach for Supplier Selection: Evidence from a Case Study in the Fashion Industry;10.3390/su14138038
"Celik, E; Yucesan, M; Gul, M";Green supplier selection for textile industry: a case study using BWM-TODIM integration under interval type-2 fuzzy sets;10.1007/s11356-021-13832-7
Scheper, C;Labour Networks under Supply Chain Capitalism: The Politics of the Bangladesh Accord;10.1111/dech.12328
"Amjad, F; Abbas, W; Zia-Ur-Rehman, M; Baig, SA; Hashim, M; Khan, A; Hakeem-ur-Rehman";Effect of green human resource management practices on organizational sustainability: the mediating role of environmental and employee performance;10.1007/s11356-020-11307-9
"Hole, G; Hole, AS";Recycling as the way to greener production: A mini review;10.1016/j.jclepro.2018.12.080
Prashar, A;Towards sustainable development in industrial small and Medium-sized Enterprises: An energy sustainability approach;10.1016/j.jclepro.2019.07.045
"Popescu, V; Astanei, DG; Burlica, R; Popescu, A; Munteanu, C; Ciolacu, F; Ursache, M; Ciobanu, L; Cocean, A";Sustainable and cleaner microwave-assisted dyeing process for obtaining eco-friendly and fluorescent acrylic knitted fabrics;10.1016/j.jclepro.2019.05.281
"Hou, EJ; Huang, CS; Lee, YC; Chu, HT";Upcycled aquaculture waste as textile ingredient for promoting circular economy;10.1016/j.susmat.2021.e00336
Venkatesan, R;The UN Framework on Business and Human Rights: A Workers' Rights Critique;10.1007/s10551-017-3664-6
"Li, YB; Diabat, A; Lu, CC";Leagile supplier selection in Chinese textile industries: a DEMATEL approach;10.1007/s10479-019-03453-2
"Ahmad, S; Miskon, S; Alabdan, R; Tlili, I";Exploration of Influential Determinants for the Adoption of Business Intelligence System in the Textile and Apparel Industry;10.3390/su12187674
"Zhou, L; Zhou, HJ";Evaluation of textile industry wastewater treatment and reuse in China;10.5004/dwt.2019.23583
"Ben Abid, T; Ayadi, O; Masmoudi, F";An Integrated Production-Distribution Planning Problem under Demand and Production Capacity Uncertainties: New Formulation and Case Study;10.1155/2020/1520764
"Castaldi, S; Wilhelm, MM; Beugelsdijk, S; van der Vaart, T";Extending Social Sustainability to Suppliers: The Role of GVC Governance Strategies and Supplier Country Institutions;10.1007/s10551-022-05083-4
"Portales-Zevallos, H; Yalan-Curo, J; Sotelo-Raffo, J; Ramos-Palomino, E";S&OP impact on inventory management in a Peruvian textile company;
"Lund, A; Wu, YY; Fenech-Salerno, B; Torrisi, F; Carmichael, TB; Muller, C";Conducting materials as building blocks for electronic textiles;10.1557/s43577-021-00117-0
"Jacobs, BW; Singhal, VR";The effect of the Rana Plaza disaster on shareholder wealth of retailers: Implications for sourcing strategies and supply chain governance;10.1016/j.jom.2017.01.002
"Taljaard, H; Sonnenberg, NC; Jacobs, BM";Factors motivating male consumers' eco-friendly apparel acquisition in the South African emerging market;10.1111/ijcs.12441
"Khattak, BK; Naseem, A; Ullah, M; Imran, M; El Ferik, S";Incorporating management opinion in green supplier selection model using quality function deployment and interactive fuzzy programming;10.1371/journal.pone.0268552
"Cai, YP; Mitrano, DM; Heuberger, M; Hufenus, R; Nowack, B";The origin of microplastic fiber in polyester textiles: The textile production process matters;10.1016/j.jclepro.2020.121970
"Naheed, S; Shooshtarian, S";A Review of Cultural Background and Thermal Perceptions in Urban Environments;10.3390/su13169080
"Dhawan, NB; Belluigi, DZ; Idahosa, GEO";There is a hell and heaven difference among faculties who are from quota and those who are non-quota: under the veneer of the New Middle Class production of Indian public universities;10.1007/s10734-022-00932-7
"Arango-Uribe, ML; Barrera-Causil, CJ; Pallares, V; Rojas, JM; Diaz, LRM; Marrone, R; Marmolejo-Ramos, F";Statistical modelling of the impact of online courses in higher education on sustainable development;10.1108/IJSHE-12-2021-0495
"Rausch, TM; Kopplin, CS";Bridge the gap: Consumers' purchase intention and behavior regarding sustainable clothing;10.1016/j.jclepro.2020.123882
"Mohajeri, B; Nyberg, T; Karjalainen, J; Nelson, M; Xiong, G";Contributions of Social Manufacturing to Sustainable Apparel Industry;
"McNeill, L; Venter, B";Identity, self-concept and young women's engagement with collaborative, sustainable fashion consumption models;10.1111/ijcs.12516
"Wu, ZD; Yang, L; Chen, QY; Ye, QL";The impacts of international trade on global greenhouse gas emissions: A thought experiment based on a novel no-trade analysis;10.1016/j.jenvman.2021.113836
"Yadlapalli, A; Rahman, S; Rogers, H";A dyadic perspective of socially responsible mechanisms for retailer-manufacturer relationship in an apparel industry;10.1108/IJPDLM-03-2018-0154
"Pina, DS; Fernandes, AA; Jorge, RN; Gabriel, J";Designing the mechanical frame of an active exoskeleton for gait assistance;10.1177/1687814017743664
"Fallahpour, A; Olugu, EU; Musa, SN; Wong, KY; Noori, S";A decision support model for sustainable supplier selection in sustainable supply chain management;10.1016/j.cie.2017.01.005
"Oh, JH; Martinez, AD; Cao, HX; George, GW; Cobb, JS; Sharma, P; Fassero, LA; Arole, K; Carr, MA; Lovell, KM; Shukla, J; Saed, MA; Tandon, R; Marquart, ME; Moores, LC; Green, MJ";Radio Frequency Heating of Washable Conductive Textiles for Bacteria and Virus Inactivation;10.1021/acsami.2c11493
"Chen, Y; Chung, SH; Guo, S";Franchising contracts in fashion supply chain operations: models, practices, and real case study;10.1007/s10479-018-2998-5
"Batt, T; Herwig, G; Annaheim, S; Clement, P; Furer, L; Hirsch, C; Varanges, V; Caglar, B; Michaud, V; Wang, J; Richner, G; Wick, P; Rossi, RM";Community Masks-from an Emergency Solution to an Innovation Booster for the Textile Industry;10.2533/chimia.2022.249
"Das, KP; Sharma, D; Satapathy, BK";Electrospun fibrous constructs towards clean and sustainable agricultural prospects: SWOT analysis and TOWS based strategy assessment;10.1016/j.jclepro.2022.133137
Ali, Z;Predicting SMEs performance through green supply chain practices: a mediation model link of business process performance;10.1108/APJML-05-2021-0296
"Li, XY; Huang, GX; Chu, J; Zheng, BR; Huang, K";How Retailer Co-Opetition Impacts Pricing, Collecting and Coordination in a Closed-Loop Supply Chain;10.3390/su131810025
"Priniotakis, G; Argyropoulos, P";Inventory management concepts and techniques;10.1088/1757-899X/459/1/012060
"Gam, HJ; Banning, J";Teaching Sustainability in Fashion Design Courses Through a Zero-Waste Design Project;10.1177/0887302X20906470
"Feng, ZS; Zhao, L; Huangfu, ZZ; Liu, ZB; Dong, ZH; Yu, X; Han, JL; Zhou, G; Wu, YL";Bionic Design of a Winding Roller and Experiments for Cleaning Long Foreign Matter from Raw Cotton;10.3390/app121910003
"Yang, XC; Zhong, QM; Liang, S; Li, YM; Wang, YF; Zhu, XB; Liu, Y";Global Supply Chain Drivers of Agricultural Antibiotic Emissions in China;10.1021/acs.est.1c07110
"Lee, SH; Mellahi, K; Mol, MJ; Pereira, V";No-Size-Fits-All: Collaborative Governance as an Alternative for Addressing Labour Issues in Global Supply Chains;10.1007/s10551-019-04198-5
"Bair, J; Anner, M; Blasi, J";The Political Economy of Private and Public Regulation in Post-Rana Plaza Bangladesh;10.1177/0019793920925424
"Georgopoulou, A; Angelis-Dimakis, A; Arampatzis, G; Assimacopoulos, D";Systemic eco-efficiency assessment of industrial water use systems;10.5004/dwt.2017.0523
"Mo, Y; Zhao, D";Effective factors for residential building energy modeling using feature engineering;10.1016/j.jobe.2021.102891
"Giacomin, AM; Garcia, JB; Zonatti, WF; Silva-Santos, MC; Laktim, MC; Baruque-Ramos, J";Silk industry and carbon footprint mitigation;10.1088/1757-899X/254/19/192008
"Poudel, DD; Duex, TW";Vanishing Springs in Nepalese Mountains Assessment of Water Sources, Farmers' Perceptions, and Climate Change Adaptation;10.1659/MRD-JOURNAL-D-16-00039.1
"Kwon, M; Kang, S; Choi, JY; Bhutta, R; Choi, S";Development of a bench-scale apparatus to assess thermal protective performance of garments under highly intensive heat-flux exposures;10.1177/00202940211064197
"Masoudipour, E; Amirian, H; Sahraeian, R";A novel closed-loop supply chain based on the quality of returned products;10.1016/j.jclepro.2017.03.067
"Arslan, A; Haapanen, L; Hurmelinna-Laukkanen, P; Tarba, SY; Alon, I";Climate change, consumer lifestyles and legitimation strategies of sustainability-oriented firms;10.1016/j.emj.2021.03.005
"Wang, CN; Yang, CY; Cheng, HC";A Fuzzy Multicriteria Decision-Making (MCDM) Model for Sustainable Supplier Evaluation and Selection Based on Triple Bottom Line Approaches in the Garment Industry;10.3390/pr7070400
"Mousa, TY; Freeland-Graves, JH";Organizations of food redistribution and rescue;10.1016/j.puhe.2017.07.031
Iyer, VG;Strategic Environmental Assessment (SEA) Process towards Sustainable Construction Management Development for the Electrical, Automation and Mechanical Engineering Construction Industries Business excellence achievements;
"Borg, D; Mont, O; Schoonover, H";Consumer Acceptance and Value in Use-Oriented Product-Service Systems: Lessons from Swedish Consumer Goods Companies;10.3390/su12198079
"Cui, HR; Wang, RY; Wang, HR";An evolutionary analysis of green finance sustainability based on multi-agent game;10.1016/j.jclepro.2020.121799
"Athanasopoulos, P; Zabaniotou, A";Post-consumer textile thermochemical recycling to fuels and biocarbon: A critical review;10.1016/j.scitotenv.2022.155387
"Majumdar, A; Jeevaraj, S; Kaliyan, M; Agrawal, R";Selection of resilient suppliers in manufacturing industries post-COVID-19: implications for economic and social sustainability in emerging economies;10.1108/IJOEM-09-2021-1393
"Zhou, YY; Xu, L; Shaikh, GM";Evaluating and Prioritizing the Green Supply Chain Management Practices in Pakistan: Based on Delphi and Fuzzy AHP Approach;10.3390/sym11111346
"Park, C; Tantiyaswasdikul, K; Evans, S; Lertwattanaruk, P";Innovation catalysts for industrial waste challenges: Sri Lankan and Thai cases;10.1016/j.promfg.2019.04.071
Tumphasuwan, K;Studying of Thai SMEs businesses in order to define the marketing strategy and enhance the competitiveness The case study: Bua Bhat Factory;10.1109/IIAI-AAI.2017.199
"Yang, G; Zhang, JH; Peng, MG; Du, ED; Wang, Y; Shan, GC; Ling, L; Ding, H; Gray, S; Xie, ZL";A Mini Review on Antiwetting Studies in Membrane Distillation for Textile Wastewater Treatment;10.3390/pr9020243
"Pasek, A; Starosielski, N";Fiber, Fingers, and Code: Manufacturing Software and Seamlessness in the Garment Industry;10.1177/1527476419897364
Siddiqi, DM;Logics of Sedition: Re-signifying Insurgent Labour in Bangladesh's Garment Factories;10.1177/0973174120983955
"Miao, DY; Wang, XF; Yu, JY; Ding, B";A Biomimetic Transpiration Textile for Highly Efficient Personal Drying and Cooling;10.1002/adfm.202008705
"Erdogan, UH; Selli, F; Duran, H";Recycling of cellulose from vegetable fiber waste for sustainable industrial applications;
"Farooq, AS; Zhang, P";Fundamentals, materials and strategies for personal thermal management by next-generation textiles;10.1016/j.compositesa.2020.106249
"Zheng, NT; Li, S; Wang, YP; Huang, YW; Bartoccid, P; Fantozzid, F; Huang, JL; Xing, L; Yang, HP; Chen, HP; Yang, Q; Li, JL";Research on low-carbon campus based on ecological footprint evaluation and machine learning: A case study in China;10.1016/j.jclepro.2021.129181
Wojciechowska, I;Innovating at the Source: New Fiber Technologies;10.14504/ar.17.6.2
"Paul, SK; Chowdhury, P; Moktadir, MA; Lau, KH";Supply chain recovery challenges in the wake of COVID-19 pandemic;10.1016/j.jbusres.2021.07.056
"Karuppusamy, S; Marken, F; Kulandainathan, MA";Electrodeposition of tin onto a silver textile electrode for Barbier-type electro-organic synthesis of homoallylic alcohols;10.1016/j.surfin.2021.101085
"Testolin, RC; Feuzer-Matos, AJ; Cotelle, S; Adani, F; Janke, L; Poyer-Radetski, G; Pereira, AC; Ariente-Neto, R; Somensi, CA; Radetski, CM";Using textile industrial sludge, sewage wastewater, and sewage sludge as inoculum to degrade recalcitrant textile dyes in a co-composting process: an assessment of biodegradation efficiency and compost phytotoxicity;10.1007/s11356-021-14211-y
"Sardaro, R; La Sala, P";New Value to Wool: Innovative Garments for Preservation of Sheep Landraces in Italy;10.3390/ani11030731
"Williamson, SH; Lutz, J";Sewing Responsibility: Media Discourse, Corporate Deviance, and the Rana Plaza Collapse;10.1111/soin.12289
"Garcia-Gonzalez, CA; Budtova, T; Duraes, L; Erkey, C; Del Gaudio, P; Gurikov, P; Koebel, M; Liebner, F; Neagu, M; Smirnova, I";An Opinion Paper on Aerogels for Biomedical and Environmental Applications;10.3390/molecules24091815
Ritch, EL;Consumer interpretations of fashion sustainability terminology communicated through labelling;10.1108/JFMM-03-2021-0075
